"Path","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"/businka/articles/pletenie-temlyaka-zmeika/","2026-05-24 - 2026-06-24","2868.00","133.00","4.64","8.01","5.39","28.00","11.00","39.29","214.00","27.00","12.62","2.66","2.56","2003.00","88.00","4.39","7.27","6.15","623.00","7.00","1.12","12.54","13.71"
"/businka/articles/chto-takoe-parakord-i-instrumenty/","2026-05-24 - 2026-06-24","1266.00","46.00","3.63","8.40","4.91","19.00","12.00","63.16","112.00","11.00","9.82","2.63","2.45","761.00","17.00","2.23","7.38","6.41","374.00","6.00","1.60","12.59","13.00"
"/businka/articles/brilliantovyi-uzel-na-temlyake/","2026-05-24 - 2026-06-24","1207.00","37.00","3.07","8.85","6.62","6.00","4.00","66.67","71.00","5.00","7.04","2.63","2.80","715.00","21.00","2.94","7.41","6.57","415.00","7.00","1.69","12.50","12.71"
"/businka/articles/kak-sdelat-temlyak/","2026-05-24 - 2026-06-24","1193.00","57.00","4.78","9.18","7.39","4.00","2.00","50.00","22.00","3.00","13.64","2.68","2.67","773.00","46.00","5.95","8.08","7.50","394.00","6.00","1.52","11.79","11.00"
"/businka/articles/kak-sdelat-brelok-s-businoj-iz-parakorda/","2026-05-24 - 2026-06-24","1087.00","42.00","3.86","10.00","8.38","1.00","0.00","0.00","42.00","5.00","11.90","2.74","3.00","504.00","26.00","5.16","7.98","7.73","540.00","11.00","2.04","12.47","12.36"
"/businka/articles/dvojnoj-brilliantovyj-uzel-iz-parakorda/","2026-05-24 - 2026-06-24","927.00","23.00","2.48","8.33","4.74","7.00","4.00","57.14","41.00","4.00","9.76","2.78","2.75","620.00","15.00","2.42","7.32","6.27","259.00","0.00","0.00","11.81",""
"/businka/articles/uzel-kulak-obezyany/","2026-05-24 - 2026-06-24","712.00","37.00","5.20","9.29","6.95","5.00","3.00","60.00","23.00","4.00","17.39","2.30","2.25","416.00","25.00","6.01","7.81","7.28","268.00","5.00","1.87","12.35","12.60"
"/businka/articles/master-klassy-po-temlyakam/","2026-05-24 - 2026-06-24","681.00","46.00","6.75","8.14","6.43","9.00","4.00","44.44","38.00","7.00","18.42","2.55","2.57","470.00","28.00","5.96","7.43","6.86","164.00","7.00","4.27","11.83","11.71"
"/businka/articles/zmeinyi-uzel-na-temlyake/","2026-05-24 - 2026-06-24","496.00","12.00","2.42","8.81","7.00","2.00","1.00","50.00","21.00","1.00","4.76","2.86","3.00","308.00","7.00","2.27","7.61","6.29","165.00","3.00","1.82","11.88","12.00"
"/businka/articles/petlya-lincha-na-temlyake/","2026-05-24 - 2026-06-24","493.00","30.00","6.09","7.27","4.00","7.00","3.00","42.86","61.00","16.00","26.23","2.62","2.63","344.00","10.00","2.91","7.05","6.20","81.00","1.00","1.23","12.22","13.00"
"/businka/articles/pletenie-temlyaka-kobra/","2026-05-24 - 2026-06-24","319.00","13.00","4.08","7.83","4.92","2.00","3.00","150.00","26.00","2.00","7.69","2.58","3.00","222.00","7.00","3.15","7.00","5.86","69.00","1.00","1.45","12.71","14.00"
"/businka/articles/kak-plesti-kobru-s-mikrokordom-na-temlyake/","2026-05-24 - 2026-06-24","280.00","13.00","4.64","7.68","4.15","4.00","3.00","75.00","29.00","3.00","10.34","2.48","2.00","175.00","7.00","4.00","7.02","6.43","72.00","0.00","0.00","11.76",""
"/businka/articles/istoriya-busin/","2026-05-24 - 2026-06-24","261.00","9.00","3.45","8.72","6.33","0.00","0.00","","18.00","0.00","0.00","2.61","","174.00","9.00","5.17","6.99","6.33","69.00","0.00","0.00","14.67",""
"/businka/articles/kak-vplesti-businu-v-temlyak/","2026-05-24 - 2026-06-24","217.00","24.00","11.06","6.37","4.25","6.00","3.00","50.00","58.00","10.00","17.24","2.52","2.50","128.00","9.00","7.03","7.04","5.56","25.00","2.00","8.00","13.16","12.00"
"/businka/articles/fenrir-weave-iz-paracorda/","2026-05-24 - 2026-06-24","122.00","1.00","0.82","8.25","5.00","2.00","0.00","0.00","8.00","0.00","0.00","2.50","","71.00","1.00","1.41","6.94","5.00","41.00","0.00","0.00","11.98",""
"/businka/articles/chto-takoe-temlyachnaya-busina/","2026-05-24 - 2026-06-24","104.00","2.00","1.92","8.67","4.50","1.00","1.00","100.00","2.00","0.00","0.00","2.50","","83.00","1.00","1.20","7.24","8.00","18.00","0.00","0.00","16.39",""
"/businka/articles/kak-splesti-temlyak-rybij-hvost/","2026-05-24 - 2026-06-24","102.00","6.00","5.88","8.01","3.17","1.00","1.00","100.00","12.00","3.00","25.00","2.83","2.33","63.00","2.00","3.17","7.32","5.50","26.00","0.00","0.00","12.35",""
"/businka/articles/temlyak-na-nozhe-iz-paracorda/","2026-05-24 - 2026-06-24","89.00","5.00","5.62","7.85","5.40","0.00","0.00","","10.00","1.00","10.00","2.70","2.00","57.00","4.00","7.02","7.05","6.25","22.00","0.00","0.00","12.27",""
